Tabla:,,CONCENTRADOHOGAR,,,,
,,,,,,
Insumos:,,,,,,
"VIVIENDAS
HOGARES
POBLACION
INGRESOS",,,,,"GASTOSHOGAR
GASTOSPERSONA
EROGACIONES
",
,,,,,,
Construcción general:,,,,,,
"Esta tabla es un resumen a nivel hogar con las principales variables de interés de la encuesta.

Se construyen las variables (para explotación) de acuerdo a la lista de variables.",,,,,,
,,,,,,
Lista de variables:,,,,,,
#,Variable,Tipo,Categorías / valores nulos,,Construcción / Observaciones,
39,agricolas,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P071, P078",
40,pecuarios,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P072, P079",
41,reproducc,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P073, P080",
42,pesca,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P074, P081",
43,otros_trab,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P021, P022",
44,rentas,"N (12,2)",NOT NULL,,utilidad + arrenda,
45,utilidad,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P012, P019",
46,arrenda,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P023,...,P031",
47,transfer,"N (12,2)",NOT NULL,,jubilacion + becas + donativos + remesas + bene_gob + transf_hog + trans_inst,
48,jubilacion,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P032,P033",
49,becas,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P037, P038",
50,donativos,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P039, P040",
51,remesas,"N (12,2)",NOT NULL,,Σ de ingresos.ing_tri cuando clave está en P041,
52,bene_gob,"N (12,2)",NOT NULL,,"Σ de ingresos.ing_tri cuando clave está en P043, P045, P048, P101,…,P108",
53,transf_hog,"N (12,2)",NOT NULL,,Σ gas_nm_tri de la tabla gastoshogar cuando tipo_gasto está en G5 y la frecuencia es diferente de 5 y las claves son diferentes a las del rubro ero_nm,
54,trans_inst,"N (12,2)",NOT NULL,,Σ gas_nm_tri de la tabla gastoshogar cuando tipo_gasto está en G6 y las claves son diferentes a las del rubro ero_nm,
55,estim_alqu,"N (12,2)",NOT NULL,,Σ de gastoshogar.gas_nm_tri  cuando tipogasto está en G7,
56,otros_ing,"N (12,2)",NOT NULL,,Σ de ingresos.ing_tri cuando clave está en P049,
57,gasto_mon,"N (12,2)",NOT NULL,,alimentos + vesti_calz + vivienda + limpieza + salud + transporte + educa_espa + personales + transf_gas,
58,alimentos,"N (12,2)",NOT NULL,,ali_dentro + ali_fuera + tabaco,
59,ali_dentro,"N (12,2)",NOT NULL,,cereales + carnes + pescado + leche + huevo + aceites + tuberculo + verduras + frutas + azucar + cafe + especias + otros_alim + bebidas,
60,cereales,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro cereales,
61,carnes,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro carne,
62,pescado,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro pescado,
63,leche,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro leche,
64,huevo,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro huevo,
65,aceites,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro aceite,
66,tuberculo,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro tuberculo,
67,verduras,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro verduras,
68,frutas,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro frutas,
69,azucar,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro azucar,
70,cafe,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro cafe,
71,especias,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro especias,
72,otros_alim,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro otros_alim,
73,bebidas,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro bebidas,
74,ali_fuera,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro ali_fuera,
75,tabaco,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro tabaco,
76,vesti_calz,"N (12,2)",NOT NULL,,vestido + calzado,
77,vestido,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro vestido,
78,calzado,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro calzado,
79,vivienda,"N (12,2)",NOT NULL,,alquiler + pred_cons + agua + energia,
80,alquiler,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro alquiler,
81,pred_cons,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro pred_cons,
82,agua,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro agua,
83,energia,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro energia,
84,limpieza,"N (12,2)",NOT NULL,,cuidados + utensilios + enseres,
85,cuidados,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro cuidados,
86,utensilios,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro utensilios,
87,enseres,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro enseres,
88,salud,"N (12,2)",NOT NULL,,ambul_serv + aten_hosp + medic_prod,
89,ambul_serv,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro ambul_serv,
90,aten_hosp,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro aten_hosp,
91,medic_prod,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro medic_prod,
92,transporte,"N (12,2)",NOT NULL,,publico + foraneo + adqui_vehi + mantenim + comunica,
93,publico,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro publico,
94,foraneo,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro foraneo,
95,adqui_vehi,"N (12,2)",NOT NULL,,Σ gasto_tri de las tablas gastoshogar y gastospersona para las claves del rubro adqui_vehi,
96,mantenim,"N (12,2)",NOT NULL,,refaccion + combus,
