folioviv,tot_resid,mat_pared,mat_techos,ab_agua,agua_noe,dotac_agua,sanit_agua,drenaje
100031403,7,8,10,1,,1,1,1
100031404,5,8,10,1,,1,1,1
100031405,4,8,10,1,,1,1,1
100031406,5,8,10,1,,1,1,1
100032501,4,8,10,1,,1,1,1
100032502,5,8,10,1,,1,1,1
100032503,2,8,10,1,,1,1,1
100032504,2,8,10,1,,1,1,1
100032505,3,8,10,1,,1,1,1
100032506,2,8,10,1,,1,1,1
100033301,1,8,10,1,,1,1,1
100033302,3,8,10,1,,1,1,1
100033303,3,8,10,1,,1,1,1
100033304,4,8,10,1,,1,1,1
100033305,5,8,10,1,,1,1,1
100033306,4,8,10,1,,1,1,1
100034601,2,8,10,1,,1,1,1
100034602,3,8,10,1,,1,1,1
100034603,3,8,10,1,,1,1,1
100034605,4,8,10,1,,1,1,1
100034606,1,8,10,1,,1,1,1
100035801,5,8,10,1,,1,2,1
100035802,8,8,10,1,,1,1,1
100035803,1,8,10,1,,1,1,1
100035804,9,8,10,1,,1,1,1
100035805,1,8,10,1,,1,2,1
100035806,4,8,3,1,,2,1,1
100036001,4,8,10,1,,1,1,1
100036002,5,8,10,1,,1,2,1
100036003,1,8,10,1,,1,2,1
100036005,4,8,10,1,,1,1,1
100036006,1,8,10,1,,1,1,1
100037303,1,8,10,1,,1,1,1
100037304,3,8,10,1,,2,2,1
100037305,5,8,10,1,,1,1,1
100037306,4,8,10,1,,1,1,1
100038501,3,8,10,1,,1,1,1
100038502,2,8,10,1,,1,1,1
100038503,7,8,10,1,,1,1,1
100038504,7,8,10,1,,1,1,1
100038505,4,8,10,1,,2,1,1
100038506,4,8,10,1,,1,1,1
100039701,2,8,10,1,,1,1,1
100039702,5,8,10,1,,1,1,1
100039703,2,8,10,1,,1,1,1
100039704,4,8,10,1,,1,1,1
100039705,6,8,10,1,,1,1,1
100039706,9,8,10,1,,1,1,1
100040901,3,8,10,1,,1,1,1
100040902,2,8,10,1,,1,1,1
100040903,4,8,10,1,,1,1,1
100040904,5,8,10,1,,1,1,1
100040905,4,8,10,1,,1,1,1
100040906,1,8,10,1,,1,1,1
100041202,3,8,10,1,,1,1,1
100041203,3,8,10,1,,2,1,1
100041204,5,8,10,1,,1,1,1
100041205,1,8,10,1,,1,1,1
100041206,2,8,10,1,,3,1,1
100042401,5,8,10,1,,1,1,1
100042402,4,8,10,1,,1,1,1
100042403,3,8,10,1,,1,1,1
100042404,6,8,10,1,,1,2,1
100042405,6,8,10,1,,1,1,1
100042406,3,8,10,1,,2,1,1
100043601,4,8,10,1,,1,1,1
100043602,3,8,10,1,,1,1,1
100043603,1,8,10,1,,2,1,1
100043604,5,8,10,1,,1,1,1
100043605,6,8,10,1,,1,1,1
100043606,5,8,10,1,,1,1,1
100044801,2,8,10,1,,1,1,1
100044802,6,8,10,1,,1,1,1
100044803,3,8,10,1,,1,1,1
100044804,5,8,10,1,,1,1,1
100044805,7,8,10,1,,1,1,1
100044806,5,8,10,1,,1,1,1
100045001,3,8,10,1,,1,1,1
100045002,5,8,10,1,,1,1,1
100045003,1,8,10,1,,1,1,1
100045004,3,8,10,1,,1,3,1
100045005,6,8,10,1,,1,1,1
100045006,4,8,10,1,,1,1,1
100046301,5,8,10,1,,2,1,1
100046302,5,8,10,1,,1,1,1
100046303,3,8,10,1,,3,1,1
100046304,5,8,10,1,,1,1,1
100046305,4,8,10,1,,2,1,1
100046306,4,8,10,1,,2,1,1
100047501,6,8,10,1,,1,1,1
100047502,2,8,10,1,,1,1,1
100047503,2,8,10,1,,1,1,1
100047504,3,8,10,1,,1,1,1
100047505,7,8,10,1,,2,1,1
100047506,1,8,10,1,,1,1,1
100048701,6,8,10,1,,1,1,1
100048702,4,8,10,1,,1,1,1
100048703,5,8,10,1,,2,1,1
100048704,3,8,10,1,,1,1,1
100048705,2,8,10,1,,1,1,1
