folioviv,foliohog,ing_cor,gasto_mon,ubica_geo,tam_loc
100057802,1,71171.3,50104.55,1001,1
100057803,1,90501.6,52886.87,1001,1
100057804,1,156983.6,154679.97,1001,1
100057805,1,77950.78,50982.27,1001,1
100057806,1,201295.06,98370.86,1001,1
100058301,1,161353.04,96279.73,1001,1
100058302,1,67145.0,23708.32,1001,1
100058303,1,168592.19,57524.0,1001,1
100058304,1,254326.64,155577.94,1001,1
100058305,1,219548.53,106959.76,1001,1
100058306,1,214294.3,145758.93,1001,1
100059501,1,56742.27,44451.31,1001,1
100059502,1,71800.36,31076.67,1001,1
100059503,1,286266.58,292783.81,1001,1
100059504,1,63293.46,48251.28,1001,1
100059505,1,52893.92,41839.03,1001,1
100060902,1,86621.17,25749.95,1001,1
100060903,1,98589.13,22396.56,1001,1
100060904,1,100962.86,42226.71,1001,1
100060905,1,42980.36,25071.72,1001,1
100060906,1,89164.54,27809.4,1001,1
100061701,1,89631.12,38878.11,1001,1
100061702,1,206676.83,120124.65,1001,1
100061703,1,108122.91,36867.81,1001,1
100061704,1,155113.18,53690.48,1001,1
100061705,1,33884.52,61136.42,1001,1
100061706,1,159713.04,75945.16,1001,1
100062901,1,64994.36,26045.19,1001,1
100062902,1,54293.45,27008.69,1001,1
100062903,1,47808.55,16372.59,1001,1
100062904,1,90726.19,27080.91,1001,1
100062905,1,71237.88,21320.93,1001,1
100062906,1,89791.69,44851.92,1001,1
100063201,1,47634.41,35159.84,1001,1
100063202,1,105284.81,54099.73,1001,1
100063203,1,78329.31,84933.71,1001,1
100063204,1,9649.23,15022.59,1001,1
100063205,1,100502.64,30073.66,1001,1
100063206,1,109524.94,76527.59,1001,1
100064201,1,77024.11,100655.63,1001,1
100064202,1,63049.44,36315.93,1001,1
100064203,1,36342.94,30746.45,1001,1
100064204,1,103777.69,46636.69,1001,1
100064205,1,35826.09,14837.52,1001,1
100064206,1,72766.44,60686.27,1001,1
100065001,1,98693.88,56904.41,1001,1
100065002,1,33114.1,17067.99,1001,1
100065003,1,74513.48,24351.56,1001,1
100065004,1,59543.87,37892.29,1001,1
100065006,1,17999.98,18629.53,1001,1
100066301,1,77752.12,52421.96,1001,1
100066302,1,24065.2,20700.3,1001,1
100066303,1,69025.75,50738.27,1001,1
100066304,1,23771.73,36937.65,1001,1
100066305,1,127521.01,51935.28,1001,1
100066306,1,122156.35,79538.96,1001,1
100067501,1,41086.95,53915.67,1001,1
100067502,1,140675.79,132623.09,1001,1
100067503,1,145690.95,87948.37,1001,1
100067504,1,88863.91,55490.75,1001,1
100067505,1,116416.17,58773.77,1001,1
100067506,1,110989.96,84405.45,1001,1
100068701,1,35999.99,47131.57,1001,1
100068702,1,33688.51,32659.84,1001,1
100068703,1,60737.69,28101.41,1001,1
100068704,1,144394.4,9612.84,1001,1
100068705,1,200975.37,41488.92,1001,1
100068706,1,124377.04,50764.46,1001,1
100069401,1,156632.15,100570.72,1001,1
100069403,1,76304.34,93042.82,1001,1
100069404,1,146983.65,144073.89,1001,1
100069405,1,252391.3,252687.32,1001,1
100069406,1,157925.99,78696.12,1001,1
100070601,1,76366.48,36195.32,1001,1
100070602,1,73770.49,62776.16,1001,1
100070603,1,202475.37,145172.23,1001,1
100070604,1,667622.92,538974.86,1001,1
100070605,1,82622.95,54789.31,1001,1
100070606,1,103278.68,83749.99,1001,1
100071801,1,105491.76,85173.29,1001,1
100071802,1,60105.37,17365.23,1001,1
100071803,1,94998.8,65705.48,1001,1
100071804,1,25573.76,28054.95,1001,1
100071805,1,137189.92,66407.82,1001,1
100071806,1,78639.32,40537.18,1001,1
100072001,1,30899.73,29680.58,1001,1
100072002,1,123347.63,42066.05,1001,1
100072003,1,69186.91,26098.55,1001,1
100072004,1,118298.51,69404.14,1001,1
100072005,1,76051.87,23772.42,1001,1
100072006,1,101199.06,67549.52,1001,1
100073401,1,49251.9,20553.69,1001,1
100073402,1,21374.98,25527.48,1001,1
100073403,1,44008.34,27943.42,1001,1
100073403,2,60303.73,42931.71,1001,1
100073404,1,102979.15,52841.16,1001,1
100073405,1,71833.65,48197.83,1001,1
100073406,1,139244.37,149422.1,1001,1
100074301,1,113582.36,49650.62,1001,1
100074302,1,72457.56,55944.77,1001,1
100074303,1,68068.88,26408.68,1001,1
100074304,1,227445.62,144807.41,1001,1
100074305,1,123434.03,75318.77,1001,1
100075601,1,102813.23,61592.91,1001,1
100075602,1,121891.94,66430.83,1001,1
100075603,1,55240.3,44298.24,1001,1
100075604,1,67792.36,48547.83,1001,1
100075605,1,60781.39,57941.02,1001,1
100075606,1,56127.69,44930.74,1001,1
100076801,1,113641.66,71382.02,1001,1
100076802,1,38356.11,24197.61,1001,1
100076803,1,86529.18,54509.72,1001,1
100076804,1,45543.84,60592.39,1001,1
100076805,1,67313.08,36081.67,1001,1
100076806,1,85204.92,50660.06,1001,1
100077901,1,216984.55,127146.29,1001,1
100077902,1,100062.06,66941.62,1001,1
100077903,1,19346.24,2530.71,1001,1
100077904,1,27106.36,10159.58,1001,1
100077906,1,21859.38,17302.2,1001,1
100078501,1,151472.62,127732.7,1001,1
100078502,1,72789.9,87135.98,1001,1
100078503,1,89627.42,71073.8,1001,1
100078504,1,121229.15,50585.84,1001,1
100078506,1,67989.12,60175.4,1001,1
100079701,1,30408.17,18614.03,1001,1
100079702,1,108755.21,76724.19,1001,1
100079703,1,36893.95,17777.25,1001,1
100079705,1,73318.01,41511.35,1001,1
100079706,1,45836.05,14766.29,1001,1
100080901,1,121529.32,110088.31,1001,1
100080902,1,44021.73,51791.34,1001,1
100080904,1,70182.32,64801.28,1001,1
100080905,1,155748.57,106883.21,1001,1
100080906,1,92926.86,42318.45,1001,1
100081001,1,213133.67,183306.62,1001,1
100081002,1,83396.72,39969.6,1001,1
100081003,1,141019.41,91691.18,1001,1
100081004,1,45901.15,33607.18,1001,1
100081005,1,65480.35,27035.35,1001,1
100081006,1,137054.31,61149.03,1001,1
100082202,1,39535.65,18885.0,1001,1
100082203,1,178705.91,58746.77,1001,1
100082204,1,147324.93,61839.86,1001,1
100082205,1,41137.41,20933.01,1001,1
100082206,1,60434.45,44130.15,1001,1
100083401,1,109407.41,120924.74,1001,1
100083402,1,102815.14,90972.29,1001,1
100083404,1,73322.21,65377.17,1001,1
100083405,1,127372.66,80827.62,1001,1
100083406,1,47529.26,58991.86,1001,1
100084201,1,163352.43,109293.98,1001,1
100084202,1,158785.67,147086.33,1001,1
100084203,1,37065.55,20464.85,1001,1
100084204,1,73387.41,40697.38,1001,1
100084205,1,151890.13,85796.52,1001,1
100084206,1,92421.45,59029.37,1001,1
100085301,1,87447.35,24402.77,1001,1
100085302,1,30654.25,5795.88,1001,1
100085302,2,60163.01,25001.62,1001,1
100085303,1,207914.26,64196.52,1001,1
100085304,1,131980.28,37863.42,1001,1
100085305,1,73988.99,23326.83,1001,1
100085306,1,22989.12,22835.94,1001,1
100086501,1,60103.03,25781.55,1001,1
100086502,1,88636.72,46509.2,1001,1
100086503,1,226554.13,111918.71,1001,1
100086504,1,40324.85,39576.51,1001,1
100086505,1,67195.45,26558.21,1001,1
100086506,1,88114.45,59875.71,1001,1
100087601,1,61163.32,28385.22,1001,1
100087602,1,139989.64,53083.23,1001,1
100087604,1,39578.91,16451.17,1001,1
100087605,1,66547.98,20484.67,1001,1
100087606,1,157583.56,113362.07,1001,1
100088701,1,34583.59,42033.28,1001,1
100088702,1,71508.15,68058.17,1001,1
100088703,1,117393.41,87230.51,1001,1
100088704,1,121844.22,95985.47,1001,1
100088705,1,75491.8,78119.96,1001,1
100088706,1,101269.25,65586.9,1001,1
100089401,1,231358.69,218108.76,1001,1
100089402,1,154757.29,130349.24,1001,1
100089403,1,289274.25,37524.91,1001,1
100089404,1,59276.29,128766.03,1001,1
100089405,1,259758.62,70658.37,1001,1
100090601,1,170114.73,144998.91,1001,1
100090602,1,209754.08,97337.15,1001,1
100090603,1,235588.5,208704.2,1001,1
100090604,1,208399.15,140432.62,1001,1
100090605,1,464262.29,268931.16,1001,1
100091901,1,46430.95,26691.43,1001,1
100091903,1,71380.6,33367.72,1001,1
100091904,1,53807.56,17386.39,1001,1
100091905,1,60554.31,65411.13,1001,1
100091906,1,45941.89,45538.44,1001,1
100092801,1,103757.87,57242.6,1001,1
100092802,1,143769.52,76262.74,1001,1
100092803,1,177958.99,75962.32,1001,1
100092805,1,118401.63,53553.0,1001,1
100092806,1,172728.17,120961.3,1001,1
100093801,1,17185.68,9196.43,1001,4
100093802,1,103179.48,43918.5,1001,4
100093803,1,72285.19,22073.31,1001,4
100093804,1,35950.81,27235.05,1001,4
100093805,1,58249.15,32193.42,1001,4
100093806,1,85155.69,46727.26,1001,4
100094001,1,72223.4,31359.78,1001,4
100094002,1,20201.08,28318.38,1001,4
100094003,1,31443.96,19668.34,1001,4
100094004,1,122400.92,73215.05,1001,4
100094006,1,49746.12,36333.94,1001,4
100095301,1,44430.33,18671.16,1001,4
100095304,1,97579.5,31276.16,1001,4
100095305,1,115649.32,42998.42,1001,4
100096002,1,53176.84,32230.9,1001,3
100096003,1,142661.67,45345.29,1001,3
100096004,1,85192.31,72354.06,1001,3
100096005,1,40297.1,12483.32,1001,3
100096006,1,72781.8,27513.9,1001,3
100097301,1,48546.64,37649.66,1001,3
100097302,1,135698.17,61077.98,1001,3
100097303,1,58586.97,26763.08,1001,3
100097304,1,28191.25,17389.64,1001,3
100097305,1,74958.27,60002.79,1001,3
100097306,1,502787.4,102906.54,1001,3
100098801,1,22967.2,36128.33,1001,1
100098803,1,47836.73,43280.97,1001,1
100098804,1,180713.09,109480.17,1001,1
100098805,1,47960.65,56606.07,1001,1
100098806,1,70942.61,37983.77,1001,1
100099001,1,71334.14,37335.18,1001,1
100099002,1,109533.4,44220.24,1001,1
100099003,1,59008.04,30805.63,1001,1
100099004,1,104074.33,56382.5,1001,1
100099005,1,83465.47,76434.78,1001,1
100099006,1,33439.73,19612.29,1001,1
100100201,1,53109.86,36419.94,1001,1
100100202,1,86380.24,23366.28,1001,1
100100204,1,30584.22,12561.82,1001,1
100100205,1,27982.65,12135.39,1001,1
100100206,1,41071.84,38729.91,1001,1
100101401,1,43469.49,17795.9,1001,1
100101402,1,70679.33,39674.67,1001,1
100101403,1,66971.72,41935.57,1001,1
100101404,1,93008.91,75054.79,1001,1
100101405,1,26779.87,43704.12,1001,1
100101406,1,62498.24,29572.58,1001,1
100102601,1,27901.95,10984.27,1001,1
100102602,1,35591.02,30745.34,1001,1
100102603,1,58395.28,30061.25,1001,1
100102604,1,67422.28,45551.52,1001,1
100102605,1,53729.47,42494.1,1001,1
100102606,1,217686.85,122972.21,1001,1
100103801,1,89477.89,31091.86,1001,1
100103802,1,27540.97,31932.03,1001,1
100103803,1,79043.43,35388.69,1001,1
100103804,1,80449.14,84613.52,1001,1
100103805,1,71341.63,35816.84,1001,1
100103806,1,46236.52,17207.42,1001,1
100104001,1,74137.94,83146.27,1001,1
100104002,1,40045.58,34327.75,1001,1
100104003,1,64771.1,54295.92,1001,1
100104004,1,113267.51,42842.73,1001,1
100104005,1,66407.18,46062.26,1001,1
100105302,1,105232.41,37620.75,1001,1
100105303,1,65135.01,11642.54,1001,1
100105304,1,34095.52,23285.37,1001,1
100105305,1,29776.98,11688.26,1001,1
100105306,1,89431.97,38772.88,1001,1
100106501,1,38429.85,15525.33,1001,1
100106502,1,72739.98,27222.01,1001,1
100106503,1,48528.03,26336.16,1001,1
100106504,1,85891.28,60340.03,1001,1
100106505,1,51358.67,52582.98,1001,1
100106506,1,209206.6,81055.32,1001,1
100107701,1,102909.8,56569.19,1001,1
100107702,1,88672.49,13088.74,1001,1
100107703,1,53532.75,13683.32,1001,1
100107704,1,154017.99,154259.65,1001,1
100107705,1,32378.91,27416.04,1001,1
100107706,1,103724.79,41234.97,1001,1
100108902,1,80119.53,51119.18,1001,1
100108903,1,124672.29,140211.09,1001,1
100108904,1,53349.91,33555.66,1001,1
100108905,1,56592.36,60838.09,1001,1
100108906,1,88532.58,127112.39,1001,1
100109019,1,131106.72,41674.79,1001,3
100109020,1,102577.09,105885.09,1001,3
100109021,1,51995.9,29482.64,1001,3
100109022,1,57165.14,32771.15,1001,3
100109023,1,70032.22,36776.18,1001,3
100109024,1,68938.98,56709.42,1001,3
100109301,1,103837.42,31547.14,1001,3
100109302,1,85294.51,30712.09,1001,3
100109303,1,120811.24,103308.8,1001,3
100109304,1,75229.8,34086.81,1001,3
100109305,1,167235.23,65248.6,1001,3
100109306,1,89821.65,53383.75,1001,3
100109507,1,57432.97,17198.67,1001,3
100109508,1,41280.05,12469.13,1001,3
100109509,1,20230.52,36292.45,1001,3
100109510,1,117707.77,43471.47,1001,3
100109511,1,34045.51,21276.05,1001,3
100109512,1,55144.36,27865.56,1001,3
100109713,1,79130.49,49274.59,1001,3
100109714,1,60387.02,57006.98,1001,3
100109715,1,54887.41,38366.74,1001,3
100109716,1,28489.98,10938.66,1001,3
100109717,1,40321.5,34023.89,1001,3
100109718,1,13665.36,22838.94,1001,3
100110901,1,441969.53,124972.04,1001,3
100110903,1,96151.83,78189.98,1001,3
100110906,1,122189.67,111044.34,1001,3
100111201,1,347305.47,214375.61,1001,3
100111203,1,248840.08,205744.61,1001,3
100111204,1,175888.41,89886.48,1001,3
100111205,1,363122.49,221345.17,1001,3
100111206,1,230449.1,179509.84,1001,3
100112401,1,141161.45,52318.79,1001,4
100112402,1,111319.06,102166.31,1001,4
100112403,1,397779.77,212050.26,1001,4
100112404,1,140928.14,56946.71,1001,4
100112405,1,488396.73,604618.04,1001,4
100112406,1,182972.61,89613.27,1001,4
100113201,1,102541.26,58187.7,1001,1
100113202,1,115924.94,106268.4,1001,1
100113203,1,105257.04,20289.01,1001,1
100113204,1,20419.54,9126.07,1001,1
100113206,1,85649.85,26535.63,1001,1
100114401,1,81489.96,16593.31,1001,1
100114402,1,106137.57,52540.51,1001,1
100114403,1,48405.98,23279.07,1001,1
100114404,1,99569.45,100902.51,1001,1
100114406,1,40367.44,24953.52,1001,1
100115001,1,43944.83,44798.01,1001,1
100115004,1,50464.27,54749.94,1001,1
100115005,1,38944.53,35228.19,1001,1
100115006,1,62695.45,44352.32,1001,1
100116301,1,30569.05,14569.54,1001,1
100116302,1,74899.39,65296.0,1001,1
100116303,1,20440.47,19979.76,1001,1
100116304,1,51358.69,33536.73,1001,1
100116305,1,188951.36,116026.41,1001,1
100116306,1,51200.88,40191.3,1001,1
100117301,1,266493.82,307170.55,1001,1
100117302,1,396705.94,253845.62,1001,1
